profile,type,window_index,tab_index,title,last_url,last_accessed_utc,entries_len,token_found,cookies_count,cookie_flags,suspicious_flags,host
rcj1pid8.default-release,cookie-only,,,,,,,,6,cookie_http_non_httponly:OptanonAlertBoxClosed;cookie_http_non_httponly:OptanonConsent;cookie_http_non_httponly:_b2;cookie_http_non_httponly:exp_bucket;cookie_http_non_httponly:exp_bucket_2;cookie_http_non_httponly:wikia_beacon_id;cookie_insecure:OptanonAlertBoxClosed;cookie_insecure:OptanonConsent;cookie_insecure:exp_bucket;cookie_insecure:exp_bucket_2,cookie_flags,fandom.com
rcj1pid8.default-release,cookie-only,,,,,,,,1,,,discord.gg
rcj1pid8.default-release,cookie-only,,,,,,,,4,,,discord.com
rcj1pid8.default-release,cookie-only,,,,,,,,1,,,discordapp.com
rcj1pid8.default-release,cookie-only,,,,,,,,3,cookie_http_non_httponly:st4-sid;cookie_insecure:st4-sid;cookie_insecure:stnetsid,cookie_flags,speedtest.net
rcj1pid8.default-release,cookie-only,,,,,,,,1,,,amuselabs.com
rcj1pid8.default-release,cookie-only,,,,,,,,2,cookie_insecure:GCLB,cookie_flags,puzzleme.amuselabs.com
rcj1pid8.default-release,cookie-only,,,,,,,,2,cookie_http_non_httponly:__stripe_mid;cookie_http_non_httponly:__stripe_sid,cookie_flags,rosswordpuzzles.com
rcj1pid8.default-release,cookie-only,,,,,,,,1,cookie_http_non_httponly:ab_participant;cookie_insecure:ab_participant,cookie_flags,ifixit.com
rcj1pid8.default-release,cookie-only,,,,,,,,2,cookie_http_non_httponly:leftPanelOpen;cookie_http_non_httponly:sitenoticeHidden;cookie_insecure:leftPanelOpen;cookie_insecure:sitenoticeHidden,cookie_flags,blox-fruits.fandom.com
rcj1pid8.default-release,cookie-only,,,,,,,,7,cookie_http_non_httponly:GHCC;cookie_http_non_httponly:_octo,cookie_flags,github.com
rcj1pid8.default-release,cookie-only,,,,,,,,4,cookie_http_non_httponly:1139389;cookie_http_non_httponly:guest;cookie_http_non_httponly:udsession;cookie_insecure:1139389;cookie_insecure:guest,cookie_flags,geeksforgeeks.org
rcj1pid8.default-release,cookie-only,,,,,,,,3,cookie_http_non_httponly:NetworkProbeLimit,cookie_flags,en.wikipedia.org
rcj1pid8.default-release,cookie-only,,,,,,,,2,,,wikipedia.org
rcj1pid8.default-release,cookie-only,,,,,,,,1,,,upload.wikimedia.org
rcj1pid8.default-release,cookie-only,,,,,,,,3,cookie_http_non_httponly:NetworkProbeLimit,cookie_flags,meta.wikimedia.org
rcj1pid8.default-release,cookie-only,,,,,,,,3,cookie_http_non_httponly:NetworkProbeLimit,cookie_flags,auth.wikimedia.org
rcj1pid8.default-release,cookie-only,,,,,,,,7,cookie_http_non_httponly:ajs_anonymous_id;cookie_http_non_httponly:ajs_user_id;cookie_http_non_httponly:intercom-device-id-awwxrc0h;cookie_http_non_httponly:intercom-id-awwxrc0h;cookie_http_non_httponly:intercom-session-awwxrc0h;cookie_insecure:ajs_anonymous_id;cookie_insecure:ajs_user_id;cookie_insecure:intercom-device-id-awwxrc0h;cookie_insecure:intercom-id-awwxrc0h;cookie_insecure:intercom-session-awwxrc0h,cookie_flags,hackthebox.com
rcj1pid8.default-release,cookie-only,,,,,,,,2,cookie_http_non_httponly:XSRF-TOKEN,cookie_flags,account.hackthebox.com
rcj1pid8.default-release,cookie-only,,,,,,,,2,cookie_http_non_httponly:XSRF-TOKEN,cookie_flags,labs.hackthebox.com
rcj1pid8.default-release,cookie-only,,,,,,,,7,cookie_http_non_httponly:builderSessionId;cookie_http_non_httponly:ccpa_enabled;cookie_http_non_httponly:cookieSettingsV2;cookie_http_non_httponly:country;cookie_http_non_httponly:gtm_consent;cookie_http_non_httponly:mp_d63e727b7647b63c44007c4c8876cb81_mixpanel;cookie_http_non_httponly:user-id;cookie_insecure:ccpa_enabled;cookie_insecure:cookieSettingsV2;cookie_insecure:country;cookie_insecure:gtm_consent;cookie_insecure:user-id,cookie_flags,gemini.com
rcj1pid8.default-release,cookie-only,,,,,,,,1,cookie_http_non_httponly:UnifiedLoggerSession;cookie_insecure:UnifiedLoggerSession,cookie_flags,roblox.com
rcj1pid8.default-release,cookie-only,,,,,,,,6,cookie_http_non_httponly:__wuid;cookie_http_non_httponly:_dd_s;cookie_insecure:_dd_s,cookie_flags,authenticator.cursor.sh
rcj1pid8.default-release,cookie-only,,,,,,,,1,,,cursor.sh
rcj1pid8.default-release,cookie-only,,,,,,,,2,cookie_insecure:GCLB,cookie_flags,cursor.com
rcj1pid8.default-release,cookie-only,,,,,,,,2,cookie_http_non_httponly:AWSALB;cookie_http_non_httponly:AWSALBCORS;cookie_insecure:AWSALB,cookie_flags,services.sheerid.com
rcj1pid8.default-release,cookie-only,,,,,,,,17,cookie_http_non_httponly:av-timezone;cookie_http_non_httponly:csm-hit;cookie_http_non_httponly:i18n-prefs;cookie_http_non_httponly:id_pk;cookie_http_non_httponly:id_pkel;cookie_http_non_httponly:lc-main;cookie_http_non_httponly:rxc;cookie_http_non_httponly:session-id;cookie_http_non_httponly:session-id-time;cookie_http_non_httponly:session-token;cookie_http_non_httponly:ubid-main;cookie_http_non_httponly:x-main;cookie_insecure:av-timezone;cookie_insecure:csm-hit;cookie_insecure:i18n-prefs;cookie_insecure:lc-main;cookie_insecure:rxc,cookie_flags,amazon.com
rcj1pid8.default-release,cookie-only,,,,,,,,8,cookie_http_non_httponly:av-timezone;cookie_http_non_httponly:csm-hit;cookie_http_non_httponly:i18n-prefs;cookie_http_non_httponly:lc-main-av;cookie_http_non_httponly:session-id;cookie_http_non_httponly:session-id-time;cookie_http_non_httponly:session-token;cookie_http_non_httponly:ubid-main-av;cookie_insecure:av-timezone;cookie_insecure:csm-hit;cookie_insecure:i18n-prefs,cookie_flags,primevideo.com
rcj1pid8.default-release,cookie-only,,,,,,,,11,cookie_http_non_httponly:AWSELB;cookie_http_non_httponly:AWSELBCORS;cookie_http_non_httponly:_tald;cookie_insecure:AWSELB;cookie_insecure:captcha,cookie_flags,epicgames.com
rcj1pid8.default-release,cookie-only,,,,,,,,7,,,unrealengine.com
rcj1pid8.default-release,cookie-only,,,,,,,,6,,,metahuman.com
rcj1pid8.default-release,cookie-only,,,,,,,,6,,,twinmotion.com
rcj1pid8.default-release,cookie-only,,,,,,,,6,,,fortnite.com
rcj1pid8.default-release,cookie-only,,,,,,,,1,,,static-assets-prod.epicgames.com
rcj1pid8.default-release,cookie-only,,,,,,,,1,,,hcaptcha.com
rcj1pid8.default-release,cookie-only,,,,,,,,1,cookie_http_non_httponly:hmt_id,cookie_flags,api.hcaptcha.com
rcj1pid8.default-release,cookie-only,,,,,,,,1,,,ecosec.on.epicgames.com
rcj1pid8.default-release,cookie-only,,,,,,,,1,cookie_http_non_httponly:OTZ,cookie_flags,ogs.google.com
rcj1pid8.default-release,cookie-only,,,,,,,,3,,,docs.google.com
rcj1pid8.default-release,cookie-only,,,,,,,,1,cookie_http_non_httponly:wikidot_token7;cookie_insecure:wikidot_token7,cookie_flags,alittleslow.wikidot.com
rcj1pid8.default-release,cookie-only,,,,,,,,7,cookie_http_non_httponly:ad-oo;cookie_http_non_httponly:csm-hit;cookie_http_non_httponly:gpc-cache;cookie_http_non_httponly:session-id;cookie_http_non_httponly:session-id-time;cookie_http_non_httponly:session-token;cookie_http_non_httponly:ubid-main;cookie_insecure:ad-oo;cookie_insecure:csm-hit;cookie_insecure:gpc-cache;cookie_insecure:session-id;cookie_insecure:session-id-time;cookie_insecure:session-token,cookie_flags,imdb.com
rcj1pid8.default-release,cookie-only,,,,,,,,2,cookie_http_non_httponly:csrf-token,cookie_flags,grammarly.com
rcj1pid8.default-release,cookie-only,,,,,,,,9,cookie_http_non_httponly:as_dc;cookie_http_non_httponly:itspod;cookie_http_non_httponly:mbox;cookie_http_non_httponly:s_fid;cookie_http_non_httponly:shld_bt_m;cookie_http_non_httponly:vrep;cookie_insecure:itspod;cookie_insecure:mbox;cookie_insecure:vrep,cookie_flags,apple.com
rcj1pid8.default-release,cookie-only,,,,,,,,8,cookie_http_non_httponly:itspod;cookie_http_non_httponly:itua;cookie_http_non_httponly:media-user-token;cookie_http_non_httponly:mut-refresh;cookie_http_non_httponly:pldfltcid;cookie_http_non_httponly:pltvcid;cookie_insecure:itua;cookie_insecure:pldfltcid;cookie_insecure:pltvcid,cookie_flags,tv.apple.com
rcj1pid8.default-release,cookie-only,,,,,,,,5,cookie_http_non_httponly:itua;cookie_http_non_httponly:media-user-token;cookie_http_non_httponly:mut-refresh;cookie_http_non_httponly:pldfltcid;cookie_http_non_httponly:pltvcid;cookie_insecure:itua;cookie_insecure:pldfltcid;cookie_insecure:pltvcid,cookie_flags,music.apple.com
